analyte,lab,age,lower_limit,upper_limit
ethanolamine,mayo ,adult,0,67
Sarcosine,mayo,child,0,5
Sarcosine,mayo,adult,0,5
Argininosuccinic Acid,mayo,child,0,2
Argininosuccinic Acid,mayo,adult,0,2
Anserine,mayo,child,0,1
Anserine,mayo,adult,0,1
Homocitruline,mayo,child,0,5
Homocitruline,mayo,adult,0,2
g-Amino-n-butyric Acid,mayo,child,0,4
g-Amino-n-butyric Acid,mayo,adult,0,2
Beta-Aminoisobutyric Acid,mayo,child,0,9
Beta-Aminoisobutyric Acid,mayo,adult,0,5
Hydroxylysine,mayo,child,0,4
Hydroxylysine,mayo,adult,0,2
Cystathionine,mayo,child,0,2
Cystathionine,mayo,adult,0,5
Tryptophan,mayo,child,17,75
Tryptophan,mayo,adult,29,77
Alloisoleucine,mayo,child,0,2
Alloisoleucine,mayo,adult,0,5
alanine,labcorp,child,121,571
alanine,labcorp,adult,124.8,564.2
Alpha-aminoadipic acid,labcorp,child,0,2.9
Alpha-aminoadipic acid,labcorp,adult,0,2.2
Alpha-amino-N-butyric acid,labcorp,child,4.5,31.6
Alpha-amino-N-butyric acid,labcorp,adult,5.4,34.5
Arginine,labcorp,child,19.4,171
Arginine,labcorp,adult,32,150
Asparagine,labcorp,child,20.2,106.6
Asparagine,labcorp,adult,29.5,84.5
Aspartic acid,labcorp,child,1.8,32.3
Aspartic acid,labcorp,adult,0.9,7.4
Beta-alanine,labcorp,child,1.6,11.8
Beta-alanine,labcorp,adult,1.1,9
Beta-amino-isobutyric acid,labcorp,child,NA,NA
Beta-amino-isobutyric acid,labcorp,adult,NA,NA
Carnosine,labcorp,child,NA,NA
Carnosine,labcorp,adult,NA,NA
Citrulline,labcorp,child,4.7,44.3
Citrulline,labcorp,adult,13.7,63.2
Cystine,labcorp,child,6.1,38.7
Cystine,labcorp,adult,13.5,60.2
Glutamic acid,labcorp,child,38,398.9
Glutamic acid,labcorp,adult,18.1,155.9
Glutamine,labcorp,child,264,835
Glutamine,labcorp,adult,332,754
Glycine,labcorp,child,145.6,518.9
Glycine,labcorp,adult,132,467
Histidine,labcorp,child,42.9,115.2
Histidine,labcorp,adult,47.2,98.5
Hydroxyproline,labcorp,child,19,115.6
Hydroxyproline,labcorp,adult,4.7,35.2
Isoleucine,labcorp,child,19.3,127.4
Isoleucine,labcorp,adult,27.7,112.8
Leucine,labcorp,child,44,224.5
Leucine,labcorp,adult,54.9,205
Lysine,labcorp,child,83.2,334.2
Lysine,labcorp,adult,94,278
Methionine,labcorp,child,13.9,68.7
Methionine,labcorp,adult,12.7,41.1
1-methylhistidine,labcorp,child,NA,NA
1-methylhistidine,labcorp,adult,NA,NA
3-methylhistidine,labcorp,child,NA,NA
3-methylhistidine,labcorp,adult,NA,NA
Ornithine,labcorp,child,30.5,205.7
Ornithine,labcorp,adult,30.5,131.4
Phenylalanine,labcorp,child,28.5,108.2
Phenylalanine,labcorp,adult,33.6,101.9
Phosphoserine,labcorp,child,NA,NA
Phosphoserine,labcorp,adult,NA,NA
Phosphoethanolamine,labcorp,child,NA,NA
Phosphoethanolamine,labcorp,adult,NA,NA
Proline,labcorp,child,84.3,417
Proline,labcorp,adult,84.8,352.5
Serine,labcorp,child,60.6,236.2
Serine,labcorp,adult,48.7,145.2
Taurine,labcorp,child,28.7,238.4
Taurine,labcorp,adult,29.2,132.3
Threonine,labcorp,child,60.7,326.8
Threonine,labcorp,adult,67.8,211.6
Tyrosine,labcorp,child,21.4,186.9
Tyrosine,labcorp,adult,31.1,118.1
Valine,labcorp,child,73.5,309.4
Valine,labcorp,adult,102.6,345.4
ethanolamine,labcorp,child,NA,NA
ethanolamine,labcorp,adult,NA,NA
Sarcosine,labcorp,child,0,4.5
Sarcosine,labcorp,adult,0,4
Argininosuccinic Acid,labcorp,child,NA,NA
Argininosuccinic Acid,labcorp,adult,NA,NA
Anserine,labcorp,child,NA,NA
Anserine,labcorp,adult,NA,NA
Homocitruline,labcorp,child,0,7
Homocitruline,labcorp,adult,0,1.7
g-Amino-n-butyric Acid,labcorp,child,0,0.6
g-Amino-n-butyric Acid,labcorp,adult,0,0.3
Beta-Aminoisobutyric Acid,labcorp,child,0.1,9.6
Beta-Aminoisobutyric Acid,labcorp,adult,0.3,4.3
Cystathionine,labcorp,child,NA,NA
Cystathionine,labcorp,adult,NA,NA
Tryptophan,labcorp,child,NA,NA
Tryptophan,labcorp,adult,NA,NA
Alloisoleucine,labcorp,child,0.3,2
Alloisoleucine,labcorp,adult,0.4,3.2
Homocystine,labcorp,child,0,0.1
Homocystine,labcorp,adult,0,0.1
Homocystine,benioff,child,NA,NA
Homocystine,benioff,adult,NA,NA
Homocystine,mayo,child,NA,NA
Homocystine,mayo,adult,NA,NA
Hydroxylysine,labcorp,child,0.4,3
Hydroxylysine,labcorp,adult,0.1,0.8
